08:43:16.338 [ApplicationImpl pooled thread 20] INFO  c.b.l.BrowserStackRunExtension - application
08:43:16.339 [ApplicationImpl pooled thread 20] INFO  com.browserstack.utils.Helpers - null
08:45:28.859 [ApplicationImpl pooled thread 23] INFO  c.b.l.BrowserStackRunExtension - maven
08:45:28.859 [ApplicationImpl pooled thread 23] INFO  com.browserstack.utils.Helpers - null
08:55:25.657 [ApplicationImpl pooled thread 47] INFO  c.b.l.BrowserStackRunExtension - junit
08:55:25.657 [ApplicationImpl pooled thread 47] INFO  com.browserstack.utils.Helpers - null
08:55:25.660 [ApplicationImpl pooled thread 47] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
09:03:30.553 [ApplicationImpl pooled thread 55] INFO  c.b.l.BrowserStackRunExtension - junit
09:03:30.553 [ApplicationImpl pooled thread 55] INFO  com.browserstack.utils.Helpers - null
09:03:30.555 [ApplicationImpl pooled thread 55] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
09:04:38.467 [ApplicationImpl pooled thread 59] INFO  c.b.l.BrowserStackRunExtension - junit
09:04:38.467 [ApplicationImpl pooled thread 59] INFO  com.browserstack.utils.Helpers - null
09:04:38.469 [ApplicationImpl pooled thread 59] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
09:05:12.691 [ApplicationImpl pooled thread 54] INFO  c.b.l.BrowserStackRunExtension - junit
09:05:12.691 [ApplicationImpl pooled thread 54] INFO  com.browserstack.utils.Helpers - null
09:05:12.694 [ApplicationImpl pooled thread 54] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
09:08:24.286 [ApplicationImpl pooled thread 56] INFO  c.b.l.BrowserStackRunExtension - junit
09:08:24.287 [ApplicationImpl pooled thread 56] INFO  com.browserstack.utils.Helpers - null
09:08:24.289 [ApplicationImpl pooled thread 56] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
09:09:34.313 [ApplicationImpl pooled thread 55] INFO  c.b.l.BrowserStackRunExtension - junit
09:09:34.313 [ApplicationImpl pooled thread 55] INFO  com.browserstack.utils.Helpers - null
09:09:34.314 [ApplicationImpl pooled thread 55] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
09:13:14.108 [ApplicationImpl pooled thread 66] INFO  c.b.l.BrowserStackRunExtension - junit
09:13:14.109 [ApplicationImpl pooled thread 66] INFO  com.browserstack.utils.Helpers - null
09:13:14.137 [ApplicationImpl pooled thread 66] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
09:57:40.340 [ApplicationImpl pooled thread 108] INFO  c.b.l.BrowserStackRunExtension - maven
09:57:40.340 [ApplicationImpl pooled thread 108] INFO  com.browserstack.utils.Helpers - null
09:57:59.042 [ApplicationImpl pooled thread 110] INFO  c.b.l.BrowserStackRunExtension - maven
09:57:59.042 [ApplicationImpl pooled thread 110] INFO  com.browserstack.utils.Helpers - null
09:59:03.021 [ApplicationImpl pooled thread 106] INFO  c.b.l.BrowserStackRunExtension - maven
09:59:03.021 [ApplicationImpl pooled thread 106] INFO  com.browserstack.utils.Helpers - null
09:59:34.031 [ApplicationImpl pooled thread 111] INFO  c.b.l.BrowserStackRunExtension - junit
09:59:34.032 [ApplicationImpl pooled thread 111] INFO  com.browserstack.utils.Helpers - null
09:59:34.034 [ApplicationImpl pooled thread 111] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
11:12:24.241 [ApplicationImpl pooled thread 35] INFO  c.b.l.BrowserStackRunExtension - junit
11:12:24.242 [ApplicationImpl pooled thread 35] INFO  com.browserstack.utils.Helpers - null
11:12:24.243 [ApplicationImpl pooled thread 35] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
11:15:17.673 [ApplicationImpl pooled thread 35] INFO  c.b.l.BrowserStackRunExtension - junit
11:15:17.673 [ApplicationImpl pooled thread 35] INFO  com.browserstack.utils.Helpers - null
11:15:17.676 [ApplicationImpl pooled thread 35] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
11:15:27.124 [ApplicationImpl pooled thread 38] INFO  c.b.l.BrowserStackRunExtension - junit
11:15:27.124 [ApplicationImpl pooled thread 38] INFO  com.browserstack.utils.Helpers - null
11:15:27.126 [ApplicationImpl pooled thread 38] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
11:15:36.323 [ApplicationImpl pooled thread 40] INFO  c.b.l.BrowserStackRunExtension - junit
11:15:36.323 [ApplicationImpl pooled thread 40] INFO  com.browserstack.utils.Helpers - null
11:15:36.324 [ApplicationImpl pooled thread 40] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
11:15:45.591 [ApplicationImpl pooled thread 39] INFO  c.b.l.BrowserStackRunExtension - junit
11:15:45.591 [ApplicationImpl pooled thread 39] INFO  com.browserstack.utils.Helpers - null
11:15:45.593 [ApplicationImpl pooled thread 39] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
11:15:49.795 [ApplicationImpl pooled thread 39] INFO  c.b.l.BrowserStackRunExtension - junit
11:15:49.796 [ApplicationImpl pooled thread 39] INFO  com.browserstack.utils.Helpers - null
11:15:49.799 [ApplicationImpl pooled thread 39] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
11:15:57.984 [ApplicationImpl pooled thread 28] INFO  c.b.l.BrowserStackRunExtension - junit
11:15:57.984 [ApplicationImpl pooled thread 28] INFO  com.browserstack.utils.Helpers - null
11:15:57.986 [ApplicationImpl pooled thread 28] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
11:16:06.930 [ApplicationImpl pooled thread 28] INFO  c.b.l.BrowserStackRunExtension - junit
11:16:06.931 [ApplicationImpl pooled thread 28] INFO  com.browserstack.utils.Helpers - null
11:16:06.933 [ApplicationImpl pooled thread 28] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
11:16:16.238 [ApplicationImpl pooled thread 35] INFO  c.b.l.BrowserStackRunExtension - junit
11:16:16.238 [ApplicationImpl pooled thread 35] INFO  com.browserstack.utils.Helpers - null
11:16:16.240 [ApplicationImpl pooled thread 35] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
11:25:22.351 [ApplicationImpl pooled thread 57] INFO  c.b.l.BrowserStackRunExtension - junit
11:25:22.351 [ApplicationImpl pooled thread 57] INFO  com.browserstack.utils.Helpers - null
11:25:22.353 [ApplicationImpl pooled thread 57] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
11:26:46.671 [ApplicationImpl pooled thread 64] INFO  c.b.l.BrowserStackRunExtension - junit
11:26:46.671 [ApplicationImpl pooled thread 64] INFO  com.browserstack.utils.Helpers - null
11:26:46.674 [ApplicationImpl pooled thread 64] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
11:43:53.123 [ApplicationImpl pooled thread 76] INFO  c.b.l.BrowserStackRunExtension - junit
11:43:53.123 [ApplicationImpl pooled thread 76] INFO  com.browserstack.utils.Helpers - null
11:43:53.125 [ApplicationImpl pooled thread 76] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
11:58:12.114 [ApplicationImpl pooled thread 76] INFO  c.b.l.BrowserStackRunExtension - junit
11:58:12.114 [ApplicationImpl pooled thread 76] INFO  com.browserstack.utils.Helpers - null
11:58:12.116 [ApplicationImpl pooled thread 76] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:00:43.926 [ApplicationImpl pooled thread 80] INFO  c.b.l.BrowserStackRunExtension - junit
12:00:43.927 [ApplicationImpl pooled thread 80] INFO  com.browserstack.utils.Helpers - null
12:00:43.929 [ApplicationImpl pooled thread 80] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:01:18.813 [ApplicationImpl pooled thread 81] INFO  c.b.l.BrowserStackRunExtension - junit
12:01:18.813 [ApplicationImpl pooled thread 81] INFO  com.browserstack.utils.Helpers - null
12:01:18.815 [ApplicationImpl pooled thread 81] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:08:19.372 [ApplicationImpl pooled thread 83] INFO  c.b.l.BrowserStackRunExtension - junit
12:08:19.372 [ApplicationImpl pooled thread 83] INFO  com.browserstack.utils.Helpers - null
12:08:19.375 [ApplicationImpl pooled thread 83] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:10:33.608 [ApplicationImpl pooled thread 82] INFO  c.b.l.BrowserStackRunExtension - junit
12:10:33.608 [ApplicationImpl pooled thread 82] INFO  com.browserstack.utils.Helpers - null
12:10:33.610 [ApplicationImpl pooled thread 82] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:14:13.457 [ApplicationImpl pooled thread 86] INFO  c.b.l.BrowserStackRunExtension - junit
12:14:13.457 [ApplicationImpl pooled thread 86] INFO  com.browserstack.utils.Helpers - null
12:14:13.459 [ApplicationImpl pooled thread 86] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
22:12:51.026 [AWT-EventQueue-0] INFO  c.b.actions.DisableBrowserStack - Setting disable browserstack run update
22:12:51.043 [AWT-EventQueue-0] INFO  c.b.actions.EnableBrowserStack - Setting enable browserstack run update
22:12:52.313 [AWT-EventQueue-0] INFO  c.b.actions.EnableBrowserStack - Setting enable browserstack run update
22:12:52.323 [AWT-EventQueue-0] INFO  c.b.actions.DisableBrowserStack - Setting disable browserstack run update
22:16:25.367 [AWT-EventQueue-0] INFO  c.b.actions.DisableBrowserStack - Setting disable browserstack run update
22:16:25.384 [AWT-EventQueue-0] INFO  c.b.actions.EnableBrowserStack - Setting enable browserstack run update
22:18:20.834 [AWT-EventQueue-0] INFO  c.b.actions.EnableBrowserStack - Setting enable browserstack run update
22:18:20.848 [AWT-EventQueue-0] INFO  c.b.actions.DisableBrowserStack - Setting disable browserstack run update
07:57:02.640 [ApplicationImpl pooled thread 33] INFO  c.b.l.BrowserStackRunExtension - junit
07:57:02.643 [ApplicationImpl pooled thread 33] INFO  com.browserstack.utils.Helpers - null
